NOME;CODIGO;SETOR;SUBSETOR;SEGMENTO
3R PETROLEUM;RRRP;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
COSAN       ;CSAN;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
DOMMO;DMMO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
ENAUTA PART;ENAT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PET MANGUINH;RPMG;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETROBRAS   ;PETR;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETRORECSA ;RECV;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
PETRORIO;PRIO;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
ULTRAPAR    ;UGPA;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
VIBRA;VBBR;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Exploração, Refino e Distribuição
LUPATECH    ;LUPA;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
OCEANPACT;OPCT;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
OSX BRASIL  ;OSXB;Petróleo, Gás e Biocombustíveis;Petróleo, Gás e Biocombustíveis;Equipamentos e Serviços
AURA 360;AURA;Materiais Básicos;Mineração;Minerais Metálicos
BRADESPAR   ;BRAP;Materiais Básicos;Mineração;Minerais Metálicos
CBA;CBAV;Materiais Básicos;Mineração;Minerais Metálicos
CSNMINERACAO;CMIN;Materiais Básicos;Mineração;Minerais Metálicos
LITEL       ;LTEL;Materiais Básicos;Mineração;Minerais Metálicos
LITELA;LTLA;Materiais Básicos;Mineração;Minerais Metálicos
VALE        ;VALE;Materiais Básicos;Mineração;Minerais Metálicos
FERBASA     ;FESA;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GERDAU      ;GGBR;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
GERDAU MET  ;GOAU;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
SID NACIONAL;CSNA;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
USIMINAS    ;USIM;Materiais Básicos;Siderurgia e Metalurgia;Siderurgia
MANGELS INDL;MGEL;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
PANATLANTICA;PATI;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
TEKNO       ;TKNO;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Ferro e Aço
PARANAPANEMA;PMAM;Materiais Básicos;Siderurgia e Metalurgia;Artefatos de Cobre
BRASKEM     ;BRKM;Materiais Básicos;Químicos;Petroquímicos
DEXXOS PAR;DEXP;Materiais Básicos;Químicos;Petroquímicos
FER HERINGER;FHER;Materiais Básicos;Químicos;Fertilizantes e Defensivos
NUTRIPLANT  ;NUTR;Materiais Básicos;Químicos;Fertilizantes e Defensivos
VITTIA;VITT;Materiais Básicos;Químicos;Fertilizantes e Defensivos
CRISTAL;CRPG;Materiais Básicos;Químicos;Químicos Diversos
UNIPAR      ;UNIP;Materiais Básicos;Químicos;Químicos Diversos
DEXCO;DXCO;Materiais Básicos;Madeira e Papel;Madeira
EUCATEX     ;EUCA;Materiais Básicos;Madeira e Papel;Madeira
KLABIN S/A  ;KLBN;Materiais Básicos;Madeira e Papel;Papel e Celulose
MELHOR SP   ;MSPA;Materiais Básicos;Madeira e Papel;Papel e Celulose
SUZANO HOLD ;NEMO;Materiais Básicos;Madeira e Papel;Papel e Celulose
SUZANO S.A.;SUZB;Materiais Básicos;Madeira e Papel;Papel e Celulose
IRANI ;RANI;Materiais Básicos;Embalagens;Embalagens
SANSUY      ;SNSY;Materiais Básicos;Materiais Diversos;Materiais Diversos
ETERNIT     ;ETER;Bens Industriais;Construção e Engenharia;Produtos para Construção
HAGA S/A    ;HAGA;Bens Industriais;Construção e Engenharia;Produtos para Construção
PORTOBELLO  ;PTBL;Bens Industriais;Construção e Engenharia;Produtos para Construção
AZEVEDO     ;AZEV;Bens Industriais;Construção e Engenharia;Construção Pesada
SONDOTECNICA;SOND;Bens Industriais;Construção e Engenharia;Engenharia Consultiva
TECNOSOLO   ;TCNO;Bens Industriais;Construção e Engenharia;Engenharia Consultiva
EMBRAER     ;EMBR;Bens Industriais;Material de Transporte;Material Aeronáutico e de Defesa
FRAS-LE     ;FRAS;Bens Industriais;Material de Transporte;Material Rodoviário
MARCOPOLO   ;POMO;Bens Industriais;Material de Transporte;Material Rodoviário
RANDON PART ;RAPT;Bens Industriais;Material de Transporte;Material Rodoviário
RECRUSUL    ;RCSL;Bens Industriais;Material de Transporte;Material Rodoviário
